Sample	chr11:70313962-70319544:-	chr11:70331419-70333825:-	chr11:70335433-70335453:-	chr11:70336271-70336492:-	chr11:70338440-70338570:-	chr11:70346675-70346698:-	chr11:70348311-70348391:-	chr11:70348901-70349036:-	chr11:70505933-70506057:-	chr11:70507701-70507923:-	SHANK2
TCGA-BA-4074-01A	2.0296	0.6227	0.3621	0.4763	0.5680	0.5432	0.5555	0.6004	0.5453	0.5216	373.0495
TCGA-BA-4075-01A	1.7346	0.7653	0.3128	0.4121	0.6327	0.0000	0.4093	0.5359	0.9221	0.6059	463.6205
TCGA-BA-4076-01A	1.8289	1.6932	1.9832	1.8889	1.6177	1.1212	1.4080	1.2991	0.3870	0.5071	105.4703
TCGA-BA-4077-01B	1.1765	1.0016	0.4951	0.5345	1.0558	0.6602	0.8802	0.9709	0.5017	0.7305	259.8653
TCGA-BA-4078-01A	2.7289	1.9297	1.3557	1.5406	1.5471	1.1956	1.2776	1.2411	0.6049	0.6542	468.4351
TCGA-BA-5149-01A	6.2216	5.9672	4.2375	4.7882	5.0397	3.4253	4.7188	3.9516	3.7689	2.2979	1392.5394
TCGA-BA-5151-01A	0.9361	0.9872	0.7102	0.7899	0.8060	0.7102	0.8603	0.6447	0.3864	0.5085	233.7558
TCGA-BA-5152-01A	0.3422	0.1366	0.1719	0.1792	0.0859	0.0859	0.0859	0.2104	0.0468	0.0316	58.6989
TCGA-BA-5153-01A	0.0123	0.0014	0.1783	0.1117	0.0653	0.0000	0.0000	0.0000	0.0685	0.1368	2.8242
TCGA-BA-5555-01A	0.9310	0.8668	0.8911	0.8776	1.0246	0.7797	0.9929	0.8485	0.1283	0.1738	35.2181
TCGA-BA-5556-01A	0.8764	1.0187	0.6592	0.7127	0.8320	0.9889	0.8003	0.7376	0.4606	0.1631	85.0202
TCGA-BA-5557-01A	0.5397	0.7261	0.1066	0.3501	0.3279	0.2132	0.3896	0.3841	0.3292	0.4202	220.7792
TCGA-BA-5558-01A	0.8200	1.1469	0.5701	0.7041	0.6249	0.5701	0.7995	0.7109	0.5409	0.5435	303.0535
TCGA-BA-5559-01A	0.1419	0.1558	0.0975	0.0975	0.1332	0.0975	0.1408	0.1333	0.0078	0.0000	13.0055
TCGA-BA-6868-01B	4.9359	2.8035	1.5588	1.9462	2.2476	1.7320	2.1981	1.6257	1.0316	0.7437	910.3862
TCGA-BA-6869-01A	0.1597	0.0926	0.0000	0.0146	0.0426	0.1161	0.0287	0.0000	0.0000	0.0000	43.3183
TCGA-BA-6870-01A	1.9047	0.4677	0.0910	0.1565	0.2354	0.2729	0.3953	0.4187	0.5567	0.6228	475.4737
TCGA-BA-6871-01A	1.2711	0.9842	0.5965	0.6677	0.6535	0.4931	0.4931	0.5279	0.1152	0.1884	178.7781
TCGA-BA-6872-01A	10.7335	4.6429	3.1268	3.5940	4.2155	3.9954	3.8281	3.3899	1.6232	1.0010	1761.6708
TCGA-BA-6873-01A	0.5658	0.6336	0.2105	0.3737	0.3198	0.2105	0.4601	0.2833	0.4093	0.3002	121.8112
TCGA-BA-7269-01A	6.0920	2.3654	2.3654	2.3654	2.3654	2.3654	2.3654	2.3654	0.2036	0.0293	33.4373
TCGA-BB-4217-01A	10.7520	1.3464	1.1232	1.2203	1.2055	1.1232	1.2175	1.1859	0.2291	0.2695	118.4510
TCGA-BB-4223-01A	0.3191	0.3404	0.3324	0.3055	0.2525	0.1662	0.3632	0.2774	0.2221	0.0581	45.4087
TCGA-BB-4224-01A	1.1776	0.1739	0.0000	0.0558	0.3308	0.0000	0.0701	0.0948	0.0774	0.0653	259.7343
TCGA-BB-4225-01A	0.1816	0.1873	0.4263	0.2414	0.2318	0.1210	0.1210	0.1210	0.0000	0.0000	15.0605
TCGA-BB-4228-01A	0.1936	0.2186	0.1297	0.1519	0.1911	0.1297	0.1297	0.1297	0.0000	0.0000	17.9011
TCGA-BB-7861-01A	0.2342	0.1721	0.0000	0.0445	0.2224	0.0000	0.0688	0.1229	0.1690	0.0151	55.6272
TCGA-BB-7862-01A	0.6946	0.6110	0.2285	0.3356	0.3367	0.5713	0.6503	0.4108	0.3803	0.2065	176.6862
TCGA-BB-7863-01A	0.3224	0.3669	0.2164	0.2397	0.2750	0.3245	0.2497	0.2927	0.2778	0.1877	47.7385
TCGA-BB-7864-01A	0.3464	0.3137	0.2415	0.2676	0.2857	0.2415	0.2415	0.2415	0.0000	0.0000	25.7093
TCGA-BB-7866-01A	0.3646	0.3685	0.1425	0.1733	0.3513	0.1425	0.2427	0.3153	0.0194	0.1099	52.2785
TCGA-BB-7870-01A	1.7225	0.7892	0.7892	0.7892	0.7892	0.6577	0.6577	0.6577	0.0000	0.0000	6.5056
TCGA-BB-7871-01A	4.1554	1.2238	0.7723	0.8289	0.8649	0.7723	0.7954	0.7917	0.3371	0.2637	572.6865
TCGA-BB-7872-01A	2.6662	0.8388	0.3713	0.4660	0.5772	0.6188	0.5470	0.4941	0.5000	0.6665	499.8538
TCGA-CN-4722-01A	0.1457	0.1508	0.0000	0.0237	0.0000	0.0000	0.0000	0.1268	0.0724	0.0000	20.7985
TCGA-CN-4723-01A	0.8424	0.9062	0.2146	0.2899	0.5995	0.7510	0.8490	0.7320	0.7793	0.6427	292.5798
TCGA-CN-4725-01A	0.7838	0.6625	0.5462	0.6290	0.5288	0.3869	0.4529	0.6232	0.6161	0.4094	199.2883
TCGA-CN-4726-01A	1.9942	0.8022	0.0000	0.2286	0.5684	0.4587	0.7437	0.3283	0.6519	0.6342	565.2993
TCGA-CN-4727-01A	0.1925	0.1734	0.1667	0.1667	0.1667	0.1667	0.1667	0.1667	0.0000	0.0000	4.5855
TCGA-CN-4728-01A	0.8784	0.8713	0.7783	0.7129	0.6674	0.5189	0.6422	0.6009	0.1941	0.2350	113.7746
TCGA-CN-4729-01A	0.2199	0.2078	0.0000	0.1329	0.0901	0.0000	0.1704	0.1319	0.1708	0.0751	86.3803
TCGA-CN-4730-01A	0.0496	0.0336	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0462	0.0000	14.7549
TCGA-CN-4731-01A	1.0607	1.2321	0.9093	0.9391	0.7288	0.7794	0.6367	0.3295	0.3471	0.7421	236.6836
TCGA-CN-4733-01A	0.9766	1.2390	0.7772	0.7784	0.9483	0.9068	1.1035	0.7906	0.9472	0.8911	332.3457
TCGA-CN-4734-01A	0.3160	0.3766	0.3394	0.4066	0.4231	0.9050	0.4469	0.3211	0.2109	0.0979	91.1720
TCGA-CN-4735-01A	14.4836	10.4887	6.3455	7.7455	8.9100	6.6569	8.9771	6.5590	5.9636	6.1377	3676.1796
TCGA-CN-4736-01A	1.2611	1.0861	0.8276	0.9257	0.9581	0.2759	0.5704	0.4909	0.6709	1.1245	222.4053
TCGA-CN-4737-01A	1.4852	1.6648	0.6844	0.9457	1.2068	1.1859	1.7100	1.2205	0.8770	1.1064	433.2881
TCGA-CN-4738-01A	1.5534	1.9729	1.2858	1.5749	1.9372	1.1202	1.2252	1.2558	1.5121	1.1165	543.7914
TCGA-CN-4739-01A	0.4193	0.3833	0.3161	0.3388	0.4584	0.4214	0.3512	0.4036	0.0506	0.1280	30.1606
TCGA-CN-4740-01A	0.2504	0.2470	0.2217	0.2217	0.2640	0.2217	0.2901	0.2217	0.0443	0.0224	7.9071
TCGA-CN-4741-01A	0.6156	0.5149	0.5205	0.4539	0.3425	0.1041	0.4871	0.2618	0.3023	0.0621	168.9188
TCGA-CN-4742-01A	2.0238	2.1475	1.2974	1.6159	2.4091	1.9461	2.5508	1.7426	0.6850	0.7098	218.0078
TCGA-CN-5355-01A	0.9907	1.2910	0.9290	1.0943	1.0788	0.4645	0.6767	0.4414	0.7683	0.6327	280.5572
TCGA-CN-5356-01A	0.0301	0.0355	0.0000	0.0051	0.0273	0.0000	0.0580	0.0000	0.0090	0.0160	10.1555
TCGA-CN-5358-01A	0.3403	0.3844	0.2549	0.3530	0.4329	0.3823	0.4610	0.5444	0.1030	0.0343	35.7447
TCGA-CN-5359-01A	1.4905	1.7803	1.1044	1.3377	1.7895	0.9036	0.9135	1.1856	1.2056	0.9193	470.4934
TCGA-CN-5360-01A	0.8615	1.0053	0.7333	0.7637	1.1364	0.4400	1.1625	0.7301	0.6242	0.5492	263.4888
TCGA-CN-5361-01A	7.1586	5.5169	2.8627	3.9607	4.5497	4.2941	4.4566	4.4109	3.7662	2.8621	1743.3862
TCGA-CN-5363-01A	7.3147	5.8011	3.0021	4.0749	3.9378	3.5024	4.1716	2.9825	3.0061	3.3282	1651.3055
TCGA-CN-5364-01A	6.5964	5.7457	2.4108	3.4833	4.7068	3.5158	3.9854	3.2102	3.1226	3.3766	1885.9929
TCGA-CN-5365-01A	1.4129	0.8892	0.5348	0.7151	0.7766	0.4279	0.5692	0.5404	0.4998	0.5118	314.2173
TCGA-CN-5366-01A	1.5648	1.0142	1.1420	1.0934	0.7466	0.4153	0.4960	0.5718	0.7525	0.5564	441.2912
TCGA-CN-5367-01A	10.9834	7.9786	4.6492	5.9494	6.2778	4.5102	5.9618	4.1765	5.4278	5.0059	3222.0517
TCGA-CN-5369-01A	0.2374	0.2208	0.1062	0.1062	0.1467	0.1062	0.1717	0.1842	0.2217	0.1928	45.1883
TCGA-CN-5370-01A	1.7649	1.9332	0.6161	1.1651	1.5284	1.6429	1.5212	1.1567	0.9882	0.9471	493.2036
TCGA-CN-5373-01A	2.7358	3.6085	2.3638	2.9849	3.5597	2.3638	4.2784	2.2846	3.4007	2.3997	1153.6255
TCGA-CN-5374-01A	0.0159	0.0123	0.0000	0.0000	0.0472	0.0000	0.0000	0.0000	0.0000	0.0000	3.5998
TCGA-CN-6010-01A	1.2463	1.3809	0.1682	0.6841	1.0941	1.0254	0.8552	0.5010	0.9452	0.6984	397.2251
TCGA-CN-6011-01A	13.6250	2.0312	1.9181	2.0579	1.7850	1.2206	1.2572	1.2360	0.0809	0.0712	129.0522
TCGA-CN-6012-01A	2.3060	2.4768	2.3192	2.4360	2.1422	2.1828	2.1171	1.7033	0.5446	0.3634	386.8083
TCGA-CN-6013-01A	3.9023	4.3480	2.5301	3.0933	3.8160	3.6453	3.8305	3.2586	1.1612	1.3866	661.3747
TCGA-CN-6016-01A	2.2044	2.4159	1.5268	1.9065	1.9709	1.3742	2.1677	1.3865	1.0028	0.7312	648.7603
TCGA-CN-6017-01A	0.7706	0.9665	0.6469	0.7016	0.8074	0.6469	1.0203	0.7456	0.7220	0.4489	177.6855
TCGA-CN-6018-01A	1.1953	1.5146	0.4365	0.8598	1.2605	1.0184	1.2843	0.5659	0.9765	0.6081	404.3007
TCGA-CN-6019-01A	1.2516	0.9890	0.5804	0.6730	0.8538	0.4942	1.0941	0.6322	1.0766	0.4816	352.1150
TCGA-CN-6020-01A	5.1402	5.1836	3.8127	4.0500	4.2482	3.5303	4.0254	3.1794	2.8480	2.4652	1155.9352
TCGA-CN-6021-01A	0.2719	0.2336	0.1462	0.1462	0.2533	0.1462	0.3050	0.2311	0.1953	0.0590	35.8118
TCGA-CN-6022-01A	0.9638	0.9059	0.9456	0.9126	1.0259	1.0343	1.0157	0.5432	0.2714	0.2428	248.8889
TCGA-CN-6023-01A	0.4188	0.4212	0.3761	0.3761	0.3761	0.3761	0.3761	0.3761	0.0000	0.0000	11.7071
TCGA-CN-6024-01A	1.1003	1.1037	0.7989	0.9453	0.8569	0.9321	0.5869	0.8636	1.3816	0.8163	369.9201
TCGA-CN-6988-01A	0.7235	0.6674	0.5236	0.5236	0.6427	0.7331	0.6193	0.5975	0.0000	0.0000	53.9683
TCGA-CN-6989-01A	5.2875	4.2750	2.6695	3.1165	3.6818	2.4328	3.5179	3.0083	3.0792	2.7662	1217.6433
TCGA-CN-6992-01A	1.1492	1.1207	0.7012	0.7241	1.0211	0.4383	0.6157	0.8101	0.6732	0.5287	280.9054
TCGA-CN-6994-01A	10.0322	10.8658	5.2936	6.9700	10.7050	8.8226	12.5441	9.1708	8.5474	7.3430	3555.7284
TCGA-CN-6995-01A	19.9973	3.7983	1.2303	2.2664	3.0811	2.6364	2.4622	1.7379	2.9021	2.0364	1526.7302
TCGA-CN-6997-01A	2.7009	2.4540	1.8645	1.7560	1.7735	1.5402	1.6423	1.4830	1.1025	0.8761	582.9775
TCGA-CN-6998-01A	1.3873	1.0650	0.6631	0.7070	1.1114	0.5684	0.7508	0.5245	0.8503	0.6780	359.2474
TCGA-CQ-5323-01A	4.2164	4.7759	1.9271	2.9619	3.8748	2.3125	4.6465	4.4621	0.7816	0.4183	1257.2809
TCGA-CQ-5324-01A	4.8271	5.2005	3.2668	3.8497	4.4956	2.7223	3.4460	2.6182	3.3219	3.3156	1466.4306
TCGA-CQ-5325-01A	1.0666	0.8705	0.2287	0.4760	0.9218	0.9149	0.4377	0.2422	0.2159	0.1733	335.4657
TCGA-CQ-5326-01A	5.2336	5.1429	2.3068	3.3647	4.6152	3.8446	3.7131	3.6718	2.9746	2.1861	1630.2199
TCGA-CQ-5329-01A	2.2890	2.5625	1.7811	2.2081	2.4896	2.7705	2.3772	1.5846	2.4032	1.5335	643.9394
TCGA-CQ-5330-01A	3.1026	2.6256	0.5943	1.5580	2.7778	2.5752	2.1301	1.6707	1.2662	1.0660	761.2025
TCGA-CQ-5331-01A	0.0911	0.0941	0.0826	0.0826	0.1129	0.0826	0.1152	0.0972	0.0264	0.0652	6.3182
TCGA-CQ-5332-01A	0.3596	0.3982	0.3342	0.3034	0.4554	0.0000	0.5983	0.3576	0.3890	0.1019	122.8250
TCGA-CQ-5334-01A	0.5134	0.5095	0.4963	0.4963	0.4963	0.4963	0.4963	0.4963	0.0000	0.0000	3.7737
TCGA-CQ-6218-01A	1.2618	0.6886	0.3415	0.4267	0.3172	0.2277	0.3190	0.3022	0.6220	0.6080	273.3813
TCGA-CQ-6219-01A	1.8705	1.0558	1.1640	1.2135	0.9360	1.1640	0.9852	0.7237	0.6415	0.3109	396.6570
TCGA-CQ-6220-01A	0.9163	0.8011	0.7247	0.6327	0.8630	0.7247	0.9037	0.3645	0.5079	0.3549	221.8343
TCGA-CQ-6221-01A	0.1943	0.1895	0.1282	0.1282	0.1282	0.0000	0.0000	0.0000	0.0492	0.1012	22.1812
TCGA-CQ-6222-01A	0.5854	0.6086	0.3878	0.4158	0.4105	0.5171	0.4277	0.4106	0.1344	0.1212	102.1028
TCGA-CQ-6223-01A	1.7682	1.4897	0.8415	1.0133	1.3354	0.8415	1.4210	0.9893	0.7465	0.4256	506.8493
TCGA-CQ-6224-01A	0.9048	0.7812	0.1053	0.2613	0.6228	0.2105	0.4809	0.4095	0.4143	0.3101	231.3383
TCGA-CQ-6225-01A	0.7677	0.3187	0.1959	0.2171	0.2318	0.2816	0.2213	0.2578	0.1975	0.1757	143.9598
TCGA-CQ-6227-01A	2.3795	1.1945	0.5194	0.7024	0.9968	0.6233	0.9760	0.6898	0.6923	0.5502	479.6171
TCGA-CQ-6228-01A	8.2469	0.5910	0.4290	0.4985	0.5035	0.6434	0.5230	0.4700	0.0824	0.0813	61.0401
TCGA-CQ-6229-01A	2.0457	1.0750	0.7090	0.7409	1.0206	1.1141	1.2492	0.9555	0.3468	0.3207	446.8251
TCGA-CQ-7065-01A	1.9918	0.7994	0.1245	0.2378	0.5019	0.3735	0.7671	0.4376	0.5489	0.8526	531.0502
TCGA-CQ-7067-01A	6.8425	4.0842	2.2869	2.7973	3.6704	3.0873	2.9786	3.1983	2.2924	1.9300	1086.7754
TCGA-CQ-7068-01A	0.2260	0.1887	0.1094	0.1094	0.1094	0.1094	0.1661	0.1391	0.0936	0.0432	30.3593
TCGA-CR-5243-01A	2.0856	2.0092	0.9657	1.2251	1.4339	1.5693	1.5172	1.1113	1.4013	1.0145	553.2773
TCGA-CR-5247-01A	0.2888	0.0996	0.0000	0.0858	0.0262	0.0000	0.0000	0.0000	0.0000	0.0000	36.1825
TCGA-CR-5248-01A	0.1727	0.1844	0.1590	0.1590	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.3967
TCGA-CR-5249-01A	0.1257	0.1102	0.0000	0.0891	0.1406	0.2456	0.1835	0.1129	0.0285	0.0209	38.3743
TCGA-CR-5250-01A	3.1997	0.9651	0.4310	0.6536	0.6854	0.4310	0.9046	0.6264	0.1575	0.2905	127.1395
TCGA-CR-6467-01A	0.4044	0.2559	0.0835	0.1297	0.2026	0.2504	0.1402	0.1553	0.1095	0.0285	97.7289
TCGA-CR-6470-01A	0.0086	0.0150	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.9553
TCGA-CR-6471-01A	0.8724	0.8117	0.3387	0.5080	0.6187	0.6773	0.6912	0.5395	0.4055	0.5988	213.2812
TCGA-CR-6472-01A	0.6316	0.6297	0.6235	0.6235	0.6235	0.6235	0.6235	0.6235	0.0000	0.0000	2.0020
TCGA-CR-6473-01A	1.1754	1.0092	0.1646	0.4790	0.9374	0.8231	0.9552	0.5398	0.4438	0.4185	259.8482
TCGA-CR-6474-01A	8.0676	10.1177	5.8066	6.6122	7.6859	5.1211	8.2427	6.5736	6.6543	5.1144	2672.8171
TCGA-CR-6477-01A	0.6144	0.5646	0.3562	0.3273	0.2302	0.1187	0.2023	0.1659	0.5234	0.5473	175.3568
TCGA-CR-6478-01A	2.1573	1.9510	1.3140	1.4125	1.6386	1.3140	1.5214	1.4030	0.8387	0.4226	361.0285
TCGA-CR-6481-01A	0.1668	0.1480	0.1014	0.1014	0.1014	0.1014	0.1616	0.1372	0.0779	0.0214	18.6655
TCGA-CR-6482-01A	0.0368	0.0293	0.0000	0.0000	0.0000	0.0000	0.0620	0.0270	0.0176	0.0264	9.8009
TCGA-CR-6484-01A	0.1867	0.1834	0.0000	0.0576	0.0488	0.0000	0.0773	0.0000	0.0512	0.1291	58.8496
TCGA-CR-6487-01A	0.0018	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7040
TCGA-CR-6488-01A	3.7430	3.1610	1.1858	1.7425	2.3402	1.3777	2.3140	1.6684	1.8193	1.7185	1158.5487
TCGA-CR-6491-01A	1.1183	1.1481	0.8487	0.9191	0.9116	0.6062	0.7798	0.6579	0.3618	0.4670	234.4643
TCGA-CR-6492-01A	1.8042	1.1202	0.1259	0.4384	0.7914	0.4232	0.7784	0.6246	0.7363	1.0181	477.8434
TCGA-CR-6493-01A	2.5760	2.7948	1.0486	1.8126	2.6805	2.6215	2.9662	2.4191	2.3814	1.4113	784.1477
TCGA-CR-7364-01A	0.7047	0.7524	1.0207	0.8946	0.7336	0.7291	0.5311	0.5232	0.4865	0.1255	123.0624
TCGA-CR-7365-01A	2.0103	1.8838	0.7741	1.0012	1.5743	1.2164	1.4935	1.2432	1.6702	1.2516	626.4151
TCGA-CR-7367-01A	0.6613	0.7268	0.4742	0.5481	0.5191	0.2292	0.4532	0.4784	0.3081	0.2837	183.4446
TCGA-CR-7368-01A	0.1762	0.1945	0.3075	0.2766	0.1471	0.2050	0.1924	0.1673	0.0476	0.0800	22.6604
TCGA-CR-7369-01A	1.9522	1.7463	0.8294	1.0690	1.3467	1.7773	1.4598	1.2336	0.7526	0.9351	273.8411
TCGA-CR-7370-01A	0.8152	0.9150	0.5877	0.6927	0.6745	0.9795	0.7328	0.6345	0.3589	0.5680	191.5575
TCGA-CR-7371-01A	7.5626	3.0051	2.6156	2.7024	2.8734	1.8973	2.4820	1.7405	3.4887	2.7969	893.3144
TCGA-CR-7372-01A	1.5944	1.6100	1.1183	1.2369	1.1980	1.1183	1.3238	0.8588	1.1223	1.5880	551.8730
TCGA-CR-7373-01A	2.5846	2.1081	1.2999	1.7508	1.9269	1.5363	1.3758	1.2408	1.1855	1.0344	619.9758
TCGA-CR-7374-01A	1.1865	0.9263	0.4926	0.6069	0.5246	0.7390	0.5246	0.5325	0.5478	0.9317	313.5314
TCGA-CR-7376-01A	1.2538	1.6566	1.0964	1.1833	1.5902	1.2060	0.9475	0.8102	0.7982	0.6775	406.1478
TCGA-CR-7377-01A	5.3475	5.4958	3.0220	3.4639	4.5969	3.3707	4.2604	2.7964	2.7115	2.6911	1425.8409
TCGA-CR-7379-01A	0.2462	0.3471	0.2229	0.1802	0.2322	0.3343	0.1775	0.1426	0.4377	0.1734	104.3690
TCGA-CR-7380-01A	3.1307	3.6681	2.7979	2.6949	3.4125	2.4870	3.2028	2.9579	2.0319	1.3550	713.0116
TCGA-CR-7382-01A	0.0624	0.0990	0.1170	0.1065	0.0715	0.2341	0.2529	0.1652	0.0000	0.0504	23.2961
TCGA-CR-7383-01A	10.6666	2.8638	1.4022	1.7507	2.0632	1.1685	1.1772	1.1522	2.0033	1.6223	2047.8728
TCGA-CR-7385-01A	0.2456	0.2374	0.2374	0.2374	0.2374	0.2374	0.2374	0.2374	0.0000	0.0000	1.3664
TCGA-CR-7386-01A	1.5291	1.4179	0.9638	1.1165	1.0778	0.4819	1.2157	1.2473	0.7081	0.8125	526.1499
TCGA-CR-7388-01A	1.4965	1.5083	0.8660	1.0204	1.1092	1.2123	0.9771	0.9449	0.7482	0.7805	375.4236
TCGA-CR-7389-01A	0.2521	0.2275	0.0000	0.1407	0.2796	0.2348	0.5406	0.2253	0.0620	0.0000	92.4037
TCGA-CR-7390-01A	1.9454	2.2003	1.0957	1.4757	2.2146	2.0696	2.3507	1.2944	1.4220	1.1519	512.6243
TCGA-CR-7391-01A	0.8535	0.9815	0.6150	0.7735	0.7437	1.3530	0.8519	0.6304	0.4950	0.1958	248.3392
TCGA-CR-7392-01A	3.2671	1.4485	0.5881	1.0193	1.0955	0.8822	0.9348	0.7611	0.6611	0.4127	411.6783
TCGA-CR-7393-01A	0.4302	0.4620	0.0000	0.0827	0.1401	0.0000	0.1935	0.2024	0.2202	0.1191	143.9204
TCGA-CR-7394-01A	0.5041	0.5355	0.1787	0.2173	0.5033	0.1787	0.4478	0.3968	0.2058	0.0377	121.8765
TCGA-CR-7395-01A	0.2669	0.2442	0.2181	0.2289	0.2797	0.2181	0.3474	0.2181	0.0000	0.0000	12.9964
TCGA-CR-7397-01A	0.6249	0.6406	0.1533	0.4200	0.8639	0.9201	0.6664	0.5739	0.1705	0.1616	175.9364
TCGA-CR-7398-01A	0.1092	0.1194	0.0000	0.0854	0.1025	0.1317	0.0992	0.1530	0.0864	0.0000	34.3450
TCGA-CR-7399-01A	7.5469	5.9631	2.9189	3.6272	4.7543	4.6582	5.0516	2.8397	4.0382	4.7365	1755.6350
TCGA-CR-7401-01A	1.8647	1.1808	0.2655	0.3648	0.6415	0.9294	1.0359	0.3924	0.6904	1.1669	561.5344
TCGA-CR-7402-01A	0.2162	0.2116	0.0870	0.1453	0.1991	0.0000	0.1342	0.0882	0.1996	0.0780	66.4470
TCGA-CR-7404-01A	0.6042	0.5357	0.3240	0.3897	0.4147	0.3240	0.3947	0.3781	0.1391	0.1313	99.6155
TCGA-CV-5430-01A	1.8421	1.8794	1.4525	1.5874	1.6438	1.2709	1.3875	1.1534	0.2426	0.3257	109.5648
TCGA-CV-5431-01A	0.5174	0.2189	0.1417	0.1724	0.2380	0.1417	0.1417	0.1918	0.0544	0.0000	30.9168
TCGA-CV-5432-01A	1.2328	0.5577	0.0000	0.0424	0.0928	0.0000	0.1986	0.1385	0.5964	0.4100	297.9258
TCGA-CV-5434-01A	0.6393	0.6155	0.4963	0.4689	0.4593	0.1241	0.2328	0.3010	0.1409	0.1202	153.8786
